date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:05:55	3415/3415	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
09:05:56	27094/27094	---M-Z	200	added ('OK')	text/html	etag:W/%223946a648c5aeb748d5384530d4675c03%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/index.html	(from )
09:05:56	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/POST	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/POST	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:06:59	46254/46254	---M-Z	200	added ('OK')	text/html	etag:W/%22ddc193889427b90dab3c759e8440d59a%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:07:00	71063/71063	---M-Z	200	added ('OK')	text/html	etag:W/%22627e9899f1c36f82012d990fa8436c00%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/motions/statistics/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:07:00	48960/48960	---M-Z	200	added ('OK')	text/html	etag:W/%2294835c72d0a4e3942c727fb529985dd4%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:07:00	48936/48936	---M-Z	200	added ('OK')	text/html	etag:W/%227d6aded97fba7ebbb151d13d8a4f2123%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/2/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:07:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2009:07:00%20GMT	https://debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/POST	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/)
09:08:02	49972/49972	---M-Z	200	added ('OK')	text/html	etag:W/%227e31048ef67146320cd7e116df16f384%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/3/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:08:02	47936/47936	---M-Z	200	added ('OK')	text/html	etag:W/%2284481bff863ffb38b0c7545fd551d1e0%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/4/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:08:02	52391/52391	---M-Z	200	added ('OK')	text/html	etag:W/%22a3bab56e8bac345e82f9a602d71e64b0%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/tab/current-standings/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/tab/current-standings/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:08:02	25940/25940	---M-Z	200	added ('OK')	text/html	etag:W/%225ea6067750cc1513dd6c5ba8850b1909%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:08:04	31930/31930	---M-Z	200	added ('OK')	text/html	etag:W/%2258ff014ff26ead7c40261f89c1127039%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/motions/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/motions/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:08:04	25190/25190	---M-Z	200	added ('OK')	text/html	etag:W/%22e2b97d63237e9dc8334cb7a4ccaa1c6b%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/donations/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/donations/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/)
09:08:04	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/motions/statistics/POST	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/motions/statistics/POST.2.delayed	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/motions/statistics/)
09:08:04	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/POST	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/POST	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/)
09:08:05	24086/24086	---M-Z	403	error ('Forbidden')	text/html	etag:W/%22c6336530900f92a289ad97a95b2b01f4%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/POST/	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/POST/index.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/tab/speaker/)
09:08:05	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/2/POST	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/2/POST	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/2/)
09:09:06	48960/48960	---M-Z	200	added ('OK')	text/html	etag:W/%2294835c72d0a4e3942c727fb529985dd4%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/?view=team	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/index95e1.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/)
09:09:06	34179/34179	---M-Z	200	added ('OK')	text/html	etag:W/%22d83f9c79ede61d9ff7f29406f0a2e95e%22	https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/?view=debate	/home/tttardigrade/websites/jornadas23/debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/index47c9.html	(from https://debatecompetitivo.herokuapp.com/jornadas_2023/results/round/1/)
