date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:05:08	3415/3415	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
09:05:08	28394/28394	---M-Z	200	added ('OK')	text/html	etag:W/%22e90bd48d8574dc65169a82f3e6687917%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/index.html	(from )
09:05:08	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22aeaeb4be9364ccf924bc14728c8b93f3%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/POST	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/POST	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
09:06:09	91530/91530	---M-Z	200	added ('OK')	text/html	etag:W/%22d1b0f804c2863a52e0581ab569b61487%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
09:06:09	44601/44601	---M-Z	200	added ('OK')	text/html	etag:W/%2263189edf92f5f5725426bdcd152b3492%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/Iniciados/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/Iniciados/index.html	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
09:06:10	36331/36331	---M-Z	200	added ('OK')	text/html	etag:W/%224702b65afe052868fb6f8f7fa5a566c2%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/tab/adjudicators/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/tab/adjudicators/index.html	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
09:06:10	56931/56931	---M-Z	200	added ('OK')	text/html	etag:W/%22b85bd6123f6dc7a56e2be1742652618b%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/tab/speaker/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
09:06:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2009:06:13%20GMT	https://debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/POST	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/tab/team/)
09:06:27	59627/59627	---M-Z	200	added ('OK')	text/html	etag:W/%22fdd9169cb954765ae9678575ba40a82d%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/results/round/1/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
09:07:15	91013/91013	---M-Z	200	added ('OK')	text/html	etag:W/%221da334aca7d9ed98ba100c2cfcf558d9%22	https://debatecompetitivo.herokuapp.com/open_porto_2023/motions/statistics/	/home/tttardigrade/websites/porto23/debatecompetitivo.herokuapp.com/open_porto_2023/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/open_porto_2023/)
